100032,126166,121707,
100233,97027,108569,
100303,101628,467314,
100494,99978,149702,
100677,105151,60973,
100704,101268,332842,
100937,152468,469129,
100982,101791,469587,
101262,101318,471340,
101262,101351,418215,
101318,101351,289340,
101272,101333,466672,
101553,93780,289962,
101559,102317,311777,
101673,98595,111654,
101713,92165,477893,
101713,102265,307803,
101713,108905,386993,
101713,110403,125524,
101713,149042,316827,
92165,102265,48700,
92165,108905,356904,
92165,110403,530934,
92165,149042,491326,
102265,108905,366156,
102265,110403,326360,
102265,149042,73368,
108905,110403,447064,
108905,149042,294457,
110403,149042,284310,
101779,105524,354012,
101929,57298,62745,
102004,102565,444526,
102036,102037,368529,
102117,102502,99582,
102117,116941,126787,
102502,116941,73634,
102124,83234,494002,
102181,102278,399720,
102181,108095,171418,
102278,108095,39721,
102467,102468,386255,
103066,100520,472995,
103066,100521,475319,
100520,100521,216022,
103136,131564,484135,
103308,103456,409240,
103320,103336,142644,
103355,105461,239210,
103363,103366,449726,
103374,44438,399743,
103374,131161,99379,
44438,131161,190708,
103982,109525,431029,
104010,151853,407119,
104338,105787,398566,
104486,106828,487795,
104492,106907,535395,
104492,106908,450365,
106907,106908,107462,
104993,122613,240501,
104993,127722,336646,
122613,127722,431927,
105095,105456,158186,
105095,108261,429593,
105456,108261,236901,
105462,105783,200144,
105466,336035,508980,
10557,9450,348873,
105752,105753,483681,
106555,158244,436331,
106568,106133,445035,
106649,120455,91509,
106715,106716,366017,
106874,109124,338479,
107735,108089,39633,
107735,108252,450714,
108089,108252,334691,
107953,107956,375512,
107979,107196,471553,
108107,108432,51948,
108218,108915,171072,
108325,108333,97139,
108787,83582,469529,
108837,115830,47409,
108837,115900,33265,
115830,115900,450551,
108856,114266,470435,
108958,110230,257849,
108995,120946,454712,
109069,120906,326640,
109069,134227,485775,
120906,134227,283358,
109199,162405,470424,
110361,120127,463419,
110364,116559,464630,
110413,58367,451032,
110837,134961,76645,
110997,110859,308642,
111092,113624,404731,
111717,114167,364464,
112169,170085,469070,
112703,113958,452303,
113240,120394,449264,
113273,114365,82944,
113342,151344,135813,
114571,118444,242339,
114571,119081,191138,
114571,190563,472952,
118444,119081,258897,
118444,190563,252716,
119081,190563,6166,
114869,114871,259782,
114955,123360,206115,
114955,128114,161454,
123360,128114,227827,
115277,131322,126957,
116252,120724,195515,
116252,142352,272249,
120724,142352,227334,
11627,11860,473830,
116756,116774,382938,
116851,116874,421696,
117209,117210,312972,
117328,118782,46975,
117928,118058,234904,
117928,118695,228852,
117928,118893,283520,
117928,119079,461355,
118058,118695,136793,
118058,118893,305072,
118058,119079,446073,
118695,118893,138483,
118695,119079,467478,
118893,119079,296265,
11797,11814,231881,
118329,118539,471557,
119111,103221,342234,
119111,120731,227104,
119111,121219,445826,
119111,123132,534179,
119111,127468,119156,
119111,128930,325642,
119111,137673,139099,
103221,120731,425726,
103221,121219,254558,
103221,123132,533022,
103221,127468,369349,
103221,128930,49842,
103221,137673,285703,
120731,121219,383698,
120731,123132,480101,
120731,127468,435841,
120731,128930,150671,
120731,137673,220349,
121219,123132,328171,
121219,127468,450663,
121219,128930,14950,
121219,137673,471902,
123132,127468,482085,
123132,128930,449927,
123132,137673,337375,
127468,128930,69214,
127468,137673,263123,
128930,137673,516317,
119128,114026,464144,
11941,12545,297381,
119448,126170,219062,
119588,120146,120294,
119588,121195,278760,
119588,176376,205962,
120146,121195,452026,
120146,176376,371314,
121195,176376,219748,
119741,121648,85066,
119954,85823,248361,
119954,107546,288618,
119954,118288,445623,
119954,119969,294589,
119954,120132,208013,
119954,120133,276645,
85823,107546,354776,
85823,118288,136273,
85823,119969,151092,
85823,120132,395363,
85823,120133,422663,
107546,118288,328351,
107546,119969,521556,
107546,120132,92929,
107546,120133,203967,
118288,119969,520012,
118288,120132,286988,
118288,120133,259033,
119969,120132,184535,
119969,120133,481023,
120132,120133,452775,
120709,123908,60559,
121109,121491,448453,
121109,121879,526441,
121491,121879,360627,
121189,121416,452447,
121326,121381,94300,
121326,121436,276008,
121381,121436,333676,
121369,156765,449034,
121369,158531,522430,
121369,174447,257480,
156765,158531,411705,
156765,174447,189901,
158531,174447,294673,
121483,127949,465202,
121483,130517,283746,
127949,130517,433563,
121557,122113,137085,
12204,11288,372930,
122068,122073,448324,
122264,122870,328982,
122319,101475,215082,
122322,142538,491882,
122322,204432,54842,
142538,204432,232589,
122534,122535,436782,
122534,122541,301409,
122535,122541,509894,
122610,163262,203486,
122737,122889,56906,
122746,124326,537705,
122746,128241,443004,
124326,128241,334060,
123056,123095,450001,
123098,222848,521352,
124646,285754,389922,
124933,75994,284859,
125431,125460,447772,
125577,184164,46047,
12561,12848,452774,
12561,13872,444639,
12848,13872,261965,
126148,126309,531030,
126423,126424,361516,
126700,127268,437014,
126827,126829,362528,
12683,15171,134566,
127323,120347,399364,
127360,128265,459321,
127360,128751,509754,
128265,128751,452573,
127545,127248,446423,
127728,150672,418440,
127728,152879,413258,
150672,152879,336142,
127910,128466,511100,
128039,128040,164459,
128419,211053,380054,
128419,213845,530283,
211053,213845,259536,
128423,130257,135899,
128809,128736,278760,
128942,130167,379641,
128952,128577,21203,
129156,129052,89679,
129490,135420,391522,
129490,139429,444425,
129490,142886,478549,
129490,142943,457760,
129490,146301,344605,
129490,150267,463146,
135420,139429,419833,
135420,142886,132522,
135420,142943,291689,
135420,146301,449862,
135420,150267,393406,
139429,142886,247351,
139429,142943,334935,
139429,146301,310010,
139429,150267,211626,
142886,142943,398359,
142886,146301,275584,
142886,150267,330354,
142943,146301,368274,
142943,150267,178441,
146301,150267,357181,
12955,12991,496146,
12967,13442,398726,
12996,23390,435047,
130545,175028,375703,
130545,206074,375285,
130545,286440,209755,
130545,295667,17002,
130545,336893,421118,
175028,206074,477005,
175028,286440,421556,
175028,295667,218481,
175028,336893,363734,
206074,286440,526186,
206074,295667,280809,
206074,336893,414781,
286440,295667,418011,
286440,336893,308021,
295667,336893,218613,
130853,133996,530469,
130927,149895,465161,
131176,133204,207573,
131180,131646,205809,
131180,132491,6232,
131646,132491,404388,
131276,131302,327829,
131359,131947,240128,
131359,134281,450311,
131947,134281,18656,
131384,139726,468648,
131397,131790,272730,
131397,131888,201537,
131790,131888,318021,
131689,132184,451915,
132759,132760,334659,
13292,14577,425902,
132924,132925,406057,
133000,135747,460907,
133219,134408,477455,
133291,123936,453380,
133836,132166,96483,
133975,134010,536691,
133975,134012,475597,
133975,134026,283962,
134010,134012,462046,
134010,134026,272996,
134012,134026,140933,
134080,135347,164919,
134684,144430,246992,
134684,154293,449471,
134684,155877,344356,
134684,162978,465472,
144430,154293,393162,
144430,155877,188137,
144430,162978,254630,
154293,155877,227630,
154293,162978,388823,
155877,162978,381384,
134803,134802,40899,
135161,135182,15862,
135161,135184,178743,
135182,135184,196051,
135173,135895,490014,
13525,14118,337500,
135296,136096,99388,
135538,135536,356471,
135864,137187,246315,
136016,135573,404007,
136041,137163,489958,
136091,215320,409543,
